cell_type,known_nt,known_nt_source,evidence
LHAD1a1,acetylcholine,Dolan et al. 2019,immuno
LHAD1a2,acetylcholine,Dolan et al. 2019,immuno
LHAD1b2,acetylcholine,Dolan et al. 2019,immuno
LHAD1b6,acetylcholine,Dolan et al. 2019,immuno
LHAD1d1,acetylcholine,Dolan et al. 2019,immuno
LHAD1d2,acetylcholine,Dolan et al. 2019,immuno
aSP-g1,acetylcholine,Dolan et al. 2019,immuno
LHAD3a1,acetylcholine,Dolan et al. 2019,immuno
LHAD3b1,acetylcholine,Dolan et al. 2019,immuno
LHAV2a2,acetylcholine,Dolan et al. 2019,immuno
LHAV2i2,acetylcholine,Dolan et al. 2019,immuno
LHAV2k2,acetylcholine,Dolan et al. 2019,immuno
LHAV2b1,acetylcholine,Dolan et al. 2019,immuno
LHAV2b2,acetylcholine,Dolan et al. 2019,immuno
LHAV6a1,acetylcholine,Dolan et al. 2019,immuno
LHAV6a3,acetylcholine,Dolan et al. 2019,immuno
LHAV6b1,acetylcholine,Dolan et al. 2019,immuno
LHPD2a1,acetylcholine,Dolan et al. 2019,immuno
LHPD2b1,acetylcholine,Dolan et al. 2019,immuno
LHPV2c1,acetylcholine,Dolan et al. 2019,immuno
LHPV2c2,acetylcholine,Dolan et al. 2019,immuno
LHPV3b1,acetylcholine,Dolan et al. 2019,immuno
LHPV4l1,acetylcholine,Dolan et al. 2019,immuno
LHPV5a1,acetylcholine,Dolan et al. 2019,immuno
LHPV5a2,acetylcholine,Dolan et al. 2019,immuno
LHPV5a3,acetylcholine,Dolan et al. 2019,immuno
LHPV5d1,acetylcholine,Dolan et al. 2019,immuno
LHPV5b1,acetylcholine,Dolan et al. 2019,immuno
LHPV5c1,acetylcholine,Dolan et al. 2019,immuno
LHPV5c4,acetylcholine,Dolan et al. 2019,immuno
LHPV5g1,acetylcholine,Dolan et al. 2019,immuno
LHPV5g2,acetylcholine,Dolan et al. 2019,immuno
LHPV5b3,acetylcholine,Dolan et al. 2019,immuno
LHAV4b3,acetylcholine,Dolan et al. 2019,immuno
LHAV4c1,acetylcholine,Dolan et al. 2019,immuno
LHPV6a3,acetylcholine,Dolan et al. 2019,immuno
LHPV6a10,acetylcholine,Dolan et al. 2019,immuno
LHPV6h2,acetylcholine,Dolan et al. 2019,immuno
LHPV6c1,acetylcholine,Dolan et al. 2019,immuno
GNG-PN1,acetylcholine,Dolan et al. 2019,immuno
LO-PN2,acetylcholine,Dolan et al. 2019,immuno
LO-PN1,acetylcholine,Dolan et al. 2019,immuno
VNC-PN1,acetylcholine,Dolan et al. 2019,immuno
MBON12,acetylcholine,Aso et al. 2014,immuno
MBON13,acetylcholine,Aso et al. 2014,immuno
MBON14,acetylcholine,Aso et al. 2014,immuno
MBON15,acetylcholine,Aso et al. 2014,immuno
MBON16,acetylcholine,Aso et al. 2014,immuno
MBON28,acetylcholine,Aso et al. 2014,immuno
MBON17,acetylcholine,Aso et al. 2014,immuno
MBON18,acetylcholine,Aso et al. 2014,immuno
MBON19,acetylcholine,Aso et al. 2014,immuno
pC1_a,acetylcholine,Palavicino-Maggio et al. 2019,immuno
pC1_b,acetylcholine,Palavicino-Maggio et al. 2019,immuno
pC1_c,acetylcholine,Palavicino-Maggio et al. 2019,immuno
pC1_d,acetylcholine,Palavicino-Maggio et al. 2019,immuno
pC1_e,acetylcholine,Palavicino-Maggio et al. 2019,immuno
LHAV3a1,acetylcholine,Dolan et al. 2019,immuno
Mi15,acetylcholine/dopamine,Davis et al. 2019,transcriptomics
FB4M_left2,dopamine,Hulse et al. 2020,NA
ExR2_left1,dopamine,Nassel and Elekes1992,immuno
ExR2_left2,dopamine,Nassel and Elekes1992,immuno
ExR2_right1,dopamine,Nassel and Elekes1992,immuno
ExR2_right2,dopamine,Nassel and Elekes1992,immuno
LPsP,dopamine,Wolff et al. 2015,immuno
FB5H_right,dopamine,Hulse et al. 2020,line_match
FB5H_left,dopamine,Hulse et al. 2020,line_match
FB6H_right,dopamine,Hulse et al. 2020,line_match
FB6H_left,dopamine,Hulse et al. 2020,line_match
FB7B_left,dopamine,Hulse et al. 2020,line_match
FB7B_right,dopamine,Hulse et al. 2020,line_match
FB4M_right1,dopamine,Hulse et al. 2020,NA
FB4M_right2,dopamine,Hulse et al. 2020,NA
FB4M_left1,dopamine,Hulse et al. 2020,NA
FB4L_right1,dopamine,Hulse et al. 2020,NA
