id,known_nt,cell_type,dataset
16,acetylcholine,VA6_adPN,fafb_catmaid
27,acetylcholine,DM4_adPN,fafb_catmaid
734,acetylcholine,DM1_lPN,fafb_catmaid
949,acetylcholine,VM3_adPN,fafb_catmaid
1165,acetylcholine,VM3_adPN,fafb_catmaid
2076,acetylcholine,DC1_adPN,fafb_catmaid
2115,acetylcholine,VA3_adPN,fafb_catmaid
3133,acetylcholine,VA6_adPN,fafb_catmaid
5714,acetylcholine,DC2_adPN,fafb_catmaid
21999,acetylcholine,VL2a_adPN,fafb_catmaid
22132,acetylcholine,VC1_lPN,fafb_catmaid
22277,acetylcholine,VC5_lvPN,fafb_catmaid
22422,acetylcholine,DL2v_adPN,fafb_catmaid
22594,acetylcholine,DM5_lPN,fafb_catmaid
22744,acetylcholine,VC5_lvPN,fafb_catmaid
22906,acetylcholine,VA5_lPN,fafb_catmaid
22976,acetylcholine,VL2p_adPN,fafb_catmaid
23134,acetylcholine,VC3_adPN,fafb_catmaid
23432,acetylcholine,VA2_adPN,fafb_catmaid
23512,acetylcholine,VM5v_adPN,fafb_catmaid
23569,acetylcholine,VA4_lPN,fafb_catmaid
23597,acetylcholine,VM4_adPN,fafb_catmaid
23829,acetylcholine,DL4_adPN,fafb_catmaid
24251,acetylcholine,VM7v_adPN,fafb_catmaid
24622,acetylcholine,D_adPN,fafb_catmaid
24726,acetylcholine,VM1_lPN,fafb_catmaid
27246,acetylcholine,VM3_adPN,fafb_catmaid
27295,acetylcholine,DA1_lPN,fafb_catmaid
27611,acetylcholine,DM5_lPN,fafb_catmaid
28876,acetylcholine,DM3_adPN,fafb_catmaid
30434,acetylcholine,VM5v_adPN,fafb_catmaid
30571,dopamine,PPL202,fafb_catmaid
30791,acetylcholine,DL2d_adPN,fafb_catmaid
30891,acetylcholine,DM1_lPN,fafb_catmaid
32214,acetylcholine,VA7m_lPN,fafb_catmaid
32399,acetylcholine,DC3_adPN,fafb_catmaid
33903,acetylcholine,DL3_lPN,fafb_catmaid
35246,acetylcholine,D_adPN,fafb_catmaid
35447,acetylcholine,VM5d_adPN,fafb_catmaid
36108,acetylcholine,VA7m_lPN,fafb_catmaid
36390,acetylcholine,VA1d_adPN,fafb_catmaid
37212,acetylcholine,M_lPNm11D,fafb_catmaid
37235,acetylcholine,M_lPNm11D,fafb_catmaid
37250,acetylcholine,DA4m_adPN,fafb_catmaid
37935,acetylcholine,VC4_adPN,fafb_catmaid
38885,acetylcholine,DA2_lPN,fafb_catmaid
39139,acetylcholine,VM5d_adPN,fafb_catmaid
