bodyid,cell_type,pre,cropped,conf_nt,conf_nt_p,top_nt,top_nt_p,acetylcholine,glutamate,gaba,dopamine,serotonin,octopamine,projection_score,segregation_index,ito_lee_hemilineage,hartenstein_hemilineage,used_in_analysis,in_ground_truth,dataset
2305628261,SAD095,14,FALSE,acetylcholine,0.273,neither,0.253,0.1,0,0.1,0.3,0,0,0.004,0.004,NA,NA,FALSE,FALSE,hemibrain:v1.2.1
2161393265,NA,5,TRUE,acetylcholine,0.28800000000000003,neither,0.348,0,0,0,0,0.3,0.3,0.028,0.028,NA,NA,FALSE,FALSE,hemibrain:v1.2.1
5813055134,VES083,5,FALSE,acetylcholine,0.29200000000000004,neither,0.619,0,0,0,0.2,0,0,NA,NA,NA,NA,FALSE,FALSE,hemibrain:v1.2.1
1653295260,PS135,10,FALSE,acetylcholine,0.29600000000000004,neither,0.528,0.3,0,0,0,0,0,0.016,0.016,DM1_posterior,DPMm1_posterior,FALSE,FALSE,hemibrain:v1.2.1
1784735157,LC12,178,FALSE,acetylcholine,0.312,octopamine,0.254,0.2,0,0.1,0.2,0.1,0.3,0,0,NA,NA,TRUE,FALSE,hemibrain:v1.2.1
1969230358,LC14,6,FALSE,acetylcholine,0.316,neither,0.42600000000000005,0.3,0,0,0,0,0,0.129,0.129,VPNp1_lateral,BLD5_lateral,FALSE,FALSE,hemibrain:v1.2.1
1907518969,LC12,127,FALSE,acetylcholine,0.322,acetylcholine,0.231,0.3,0.1,0.1,0.2,0.1,0.2,0.004,0.004,NA,NA,TRUE,FALSE,hemibrain:v1.2.1
2070351862,ORN_VC5,19,TRUE,acetylcholine,0.326,acetylcholine,0.314,0.3,0,0.2,0.1,0.2,0.2,NA,NA,NA,NA,FALSE,TRUE,hemibrain:v1.2.1
1069757725,PFNp,36,FALSE,acetylcholine,0.328,acetylcholine,0.225,0.3,0.2,0.1,0,0,0.3,0.034,0.034,DM3_CX_p,DPMpm2_CX_p,FALSE,FALSE,hemibrain:v1.2.1
1872067203,LPC2,20,FALSE,acetylcholine,0.33399999999999996,acetylcholine,0.28900000000000003,0.3,0,0.2,0.3,0.1,0,0.079,0.079,NA,NA,FALSE,FALSE,hemibrain:v1.2.1
1441499284,PFNp,44,FALSE,acetylcholine,0.33899999999999997,glutamate,0.28900000000000003,0.3,0.3,0.1,0.1,0,0.2,0.022,0.022,DM3_CX_p,DPMpm2_CX_p,FALSE,FALSE,hemibrain:v1.2.1
695671851,PFNd,195,FALSE,acetylcholine,0.34199999999999997,acetylcholine,0.307,0.3,0.1,0.2,0,0.1,0.2,0.187,0.187,DM2_CX_p,DPMpm1_CX_p,TRUE,FALSE,hemibrain:v1.2.1
1002848124,PFNd,299,FALSE,acetylcholine,0.349,acetylcholine,0.254,0.3,0.1,0.1,0.1,0.3,0.2,0.078,0.078,DM3_CX_v,DPMpm2_CX_v,TRUE,FALSE,hemibrain:v1.2.1
5813057402,PS167,8,FALSE,acetylcholine,0.351,acetylcholine,0.273,0.2,0.2,0,0.2,0,0,NA,NA,NA,NA,FALSE,FALSE,hemibrain:v1.2.1
791457874,NA,257,FALSE,acetylcholine,0.353,acetylcholine,0.24200000000000002,0.3,0.1,0.1,0.1,0.1,0.1,0.001,0.001,NA,NA,TRUE,FALSE,hemibrain:v1.2.1
