cell_type,cell_type_nt,cell_type_confidence,known_nt,known_nt_source,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,flow,cell_class,cell_sub_class,acetylcholine_fafb_n,acetylcholine_cell_type_fafb_confidence_sum,glutamate_fafb_n,glutamate_cell_type_fafb_confidence_sum,serotonin_fafb_n,dopamine_fafb_n,serotonin_cell_type_fafb_confidence_sum,dopamine_cell_type_fafb_confidence_sum,gaba_fafb_n,gaba_cell_type_fafb_confidence_sum,octopamine_fafb_n,octopamine_cell_type_fafb_confidence_sum,hemibrain_type,hemibrain_type_nt,hemibrain_type_confidence,acetylcholine_hemibrain_n,acetylcholine_cell_type_hemibrain_confidence_sum,glutamate_hemibrain_n,glutamate_cell_type_hemibrain_confidence_sum,dopamine_hemibrain_n,dopamine_cell_type_hemibrain_confidence_sum,serotonin_hemibrain_n,serotonin_cell_type_hemibrain_confidence_sum,gaba_hemibrain_n,gaba_cell_type_hemibrain_confidence_sum,octopamine_hemibrain_n,octopamine_cell_type_hemibrain_confidence_sum
"(M_adPNm4,M_adPNm5)a",acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,multiglomerular,2,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm4|M_adPNm5,acetylcholine,0.94,5,0.9104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(M_adPNm4,M_adPNm5)b",acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,multiglomerular,7,6.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm4|M_adPNm5,acetylcholine,0.94,5,0.9104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(M_adPNm4,M_adPNm5)c",acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,multiglomerular,1,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm4|M_adPNm5,acetylcholine,0.94,5,0.9104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(M_adPNm4,M_adPNm5)d",acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,multiglomerular,2,1.6829999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm4|M_adPNm5,acetylcholine,0.94,5,0.9104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA4m_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,2,1.8410000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DA4m_adPN,acetylcholine,0.94,1,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC2_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,4,3.7510000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC2_adPN,acetylcholine,0.94,2,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__2,intrinsic,ALPN,uniglomerular,5,4.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC3_adPN,acetylcholine,0.94,3,0.9184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC4_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,2,1.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC4_adPN,acetylcholine,0.94,1,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL2d_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__0,intrinsic,ALPN,uniglomerular,10,9.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL2d_adPN,acetylcholine,0.94,5,0.8928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL2v_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__0,intrinsic,ALPN,uniglomerular,8,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL2v_adPN,acetylcholine,0.94,3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM6_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,6,5.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DM6_adPN,acetylcholine,0.94,4,0.9136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__3,intrinsic,ALPN,uniglomerular,6,5.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D_adPN,acetylcholine,0.94,3,0.9023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_adPNm3,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,2,1.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm3,acetylcholine,0.94,1,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
