root_630,pre,pos_x,pos_y,pos_z,cell_class,cell_type,known_nt,acetylcholine,gaba,glutamate,dopamine,serotonin,octopamine,num_nts,is_cotransmitter
720575940625413395,1201.0,113000.0,59340.0,1655,ALPN,"(M_adPNm4,M_adPNm5)a",acetylcholine,True,False,False,False,False,False,1,False
720575940614316731,1171.0,122700.0,56360.0,2263,ALPN,"(M_adPNm4,M_adPNm5)b",acetylcholine,True,False,False,False,False,False,1,False
720575940627949929,1163.0,123400.0,57510.0,2088,ALPN,"(M_adPNm4,M_adPNm5)b",acetylcholine,True,False,False,False,False,False,1,False
720575940620551259,2092.0,125100.0,58910.0,2231,ALPN,"(M_adPNm4,M_adPNm5)c",acetylcholine,True,False,False,False,False,False,1,False
720575940631930828,17834.0,114600.0,63600.0,1617,ALPN,DA4m_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940637943374,11936.0,147800.0,61770.0,869,ALPN,DC3_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940634939327,9460.0,116600.0,58880.0,1192,ALPN,DC3_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940613419695,9469.0,112700.0,33610.0,4563,ALPN,DC3_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940630131663,8469.0,116400.0,60000.0,1156,ALPN,DC3_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940617781383,11879.0,148400.0,62210.0,764,ALPN,DC3_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940613579943,19418.0,101400.0,32410.0,4535,ALPN,DC4_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940620103590,3574.0,111900.0,55040.0,1439,ALPN,DL2d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940642046453,2847.0,111400.0,55090.0,1426,ALPN,DL2d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940630928715,4465.0,122700.0,51460.0,875,ALPN,DL2d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940605421442,1608.0,112200.0,54360.0,1520,ALPN,DL2d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940621123113,6220.0,150200.0,58710.0,1241,ALPN,DL2d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940628181520,7462.0,114600.0,56540.0,1563,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940637864355,6953.0,148400.0,58840.0,1243,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940627772009,7531.0,113200.0,55560.0,1462,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940611022515,7569.0,114400.0,56690.0,1551,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940620467438,6114.0,115700.0,56610.0,1617,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940619531373,7424.0,148100.0,36670.0,3986,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940614714178,7099.0,150000.0,58400.0,1132,ALPN,DL2v_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940623902471,7082.0,167700.0,36800.0,3768,ALPN,DM6_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940631328104,6706.0,122900.0,55770.0,1223,ALPN,DM6_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940620437339,7017.0,95670.0,34650.0,4387,ALPN,DM6_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940622785062,6926.0,96170.0,34240.0,4382,ALPN,DM6_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940625493400,7911.0,141300.0,59250.0,1273,ALPN,DM6_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940618499238,7523.0,147000.0,58860.0,985,ALPN,D_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940603985952,8086.0,117900.0,55980.0,1324,ALPN,D_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940627844734,7295.0,117200.0,56820.0,1363,ALPN,D_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940612197374,7846.0,146000.0,59330.0,940,ALPN,D_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940633804212,7428.0,118000.0,56800.0,1251,ALPN,D_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940623875819,9169.0,119700.0,65040.0,1924,ALPN,M_adPNm3,acetylcholine,True,False,False,False,False,False,1,False
720575940640804853,12788.0,116900.0,58740.0,1263,ALPN,VA1d_adPN,acetylcholine,True,False,False,False,False,False,1,False
720575940630547909,9114.0,147900.0,61560.0,832,ALPN,VA1d_adPN,acetylcholine,True,False,False,False,False,False,1,False
